zip,county_fips,county_name
92342,06071,San Bernardino County
92344,06071,San Bernardino County
92345,06071,San Bernardino County
92346,06071,San Bernardino County
92347,06071,San Bernardino County
92350,06071,San Bernardino County
92352,06071,San Bernardino County
92354,06071,San Bernardino County
92356,06071,San Bernardino County
92358,06071,San Bernardino County
92359,06071,San Bernardino County
92363,06071,San Bernardino County
92364,06071,San Bernardino County
92365,06071,San Bernardino County
92368,06071,San Bernardino County
92369,06071,San Bernardino County
92371,06071,San Bernardino County
92372,06071,San Bernardino County
92373,06071,San Bernardino County
92374,06071,San Bernardino County
92376,06071,San Bernardino County
92377,06071,San Bernardino County
92378,06071,San Bernardino County
92382,06071,San Bernardino County
92384,06027,Inyo County
92385,06071,San Bernardino County
92386,06071,San Bernardino County
92389,06027,Inyo County
92391,06071,San Bernardino County
92392,06071,San Bernardino County
92394,06071,San Bernardino County
92395,06071,San Bernardino County
92397,06037,Los Angeles County
92398,06071,San Bernardino County
92399,06071,San Bernardino County
92401,06071,San Bernardino County
92404,06071,San Bernardino County
92405,06071,San Bernardino County
92407,06071,San Bernardino County
92408,06071,San Bernardino County
92410,06071,San Bernardino County
92411,06071,San Bernardino County
92415,06071,San Bernardino County
92501,06065,Riverside County
92503,06065,Riverside County
92504,06065,Riverside County
92505,06065,Riverside County
92506,06065,Riverside County
92507,06065,Riverside County
92508,06065,Riverside County
92509,06065,Riverside County
92518,06065,Riverside County
92521,06065,Riverside County
92530,06065,Riverside County
92532,06065,Riverside County
92536,06065,Riverside County
92539,06065,Riverside County
92543,06065,Riverside County
92544,06065,Riverside County
92545,06065,Riverside County
92548,06065,Riverside County
92549,06065,Riverside County
92551,06065,Riverside County
92553,06065,Riverside County
92555,06065,Riverside County
92557,06065,Riverside County
92561,06065,Riverside County
92562,06065,Riverside County
92563,06065,Riverside County
92567,06065,Riverside County
92570,06065,Riverside County
92571,06065,Riverside County
92582,06065,Riverside County
92583,06065,Riverside County
92584,06065,Riverside County
92585,06065,Riverside County
92586,06065,Riverside County
92587,06065,Riverside County
92590,06065,Riverside County
92591,06065,Riverside County
92592,06065,Riverside County
92595,06065,Riverside County
92596,06065,Riverside County
92602,06059,Orange County
92603,06059,Orange County
92604,06059,Orange County
92606,06059,Orange County
92610,06059,Orange County
92612,06059,Orange County
92614,06059,Orange County
92617,06059,Orange County
92618,06059,Orange County
92620,06059,Orange County
92624,06059,Orange County
92625,06059,Orange County
92626,06059,Orange County
92627,06059,Orange County
92629,06059,Orange County
92630,06059,Orange County
92637,06059,Orange County
92646,06059,Orange County
92647,06059,Orange County
92648,06059,Orange County
92649,06059,Orange County
92651,06059,Orange County
92653,06059,Orange County
92655,06059,Orange County
92656,06059,Orange County
92657,06059,Orange County
92660,06059,Orange County
92661,06059,Orange County
92662,06059,Orange County
92663,06059,Orange County
92672,06073,San Diego County
92673,06059,Orange County
92675,06059,Orange County
92676,06059,Orange County
92677,06059,Orange County
92678,06059,Orange County
92679,06059,Orange County
92683,06059,Orange County
92688,06059,Orange County
92691,06059,Orange County
92692,06059,Orange County
92694,06059,Orange County
92697,06059,Orange County
92701,06059,Orange County
92703,06059,Orange County
92704,06059,Orange County
92705,06059,Orange County
92706,06059,Orange County
92707,06059,Orange County
92708,06059,Orange County
92780,06059,Orange County
92782,06059,Orange County
92801,06059,Orange County
92802,06059,Orange County
92804,06059,Orange County
92805,06059,Orange County
92806,06059,Orange County
92807,06059,Orange County
92808,06059,Orange County
92821,06059,Orange County
92823,06059,Orange County
92831,06059,Orange County
92832,06059,Orange County
92833,06059,Orange County
92835,06059,Orange County
92840,06059,Orange County
92841,06059,Orange County
92843,06059,Orange County
92844,06059,Orange County
92845,06059,Orange County
92860,06065,Riverside County
92861,06059,Orange County
92865,06059,Orange County
92866,06059,Orange County
92867,06059,Orange County
92868,06059,Orange County
92869,06059,Orange County
92870,06059,Orange County
